2026.09.08;08:42;EURUSD;Blank;b-0*2-3-0-0;s-0*2-1-0-1;Blank;Blank;b-2-0-0-3
2026.09.08;08:42;BTCUSD;Blank;Blank;b-0*1-0-0-0;Blank;s-2-3-0-1;b-1-0-0-0
2026.09.08;08:42;USDCHF;s-0*1-3-0-0;Blank;Blank;s-0*2-0-0-1;b-2-4-0-2;s-4-0-0-2
2026.09.08;08:42;GBPUSD;Blank;b-0*1-4-0-0;s-0*3-0-0-2;Blank;Blank;b-2-1-0-2
2026.09.08;08:42;USDJPY;b-0*1-0-0-0;Blank;Blank;Blank;b-1-4-0-1;s-4-3-1-2
2026.09.08;08:42;AUDUSD;Blank;mix;s-2*3-5-0-0;Blank;b-1-0-0-2;b-1-1-0-1
2026.09.08;08:42;USDCAD;Blank;s-2*1-4-0-0;Blank;b-0*2-0-0-5;Blank;s-2-0-0-1
2026.09.08;08:42;ETHUSD;s-0*2-0-0-0;Blank;Blank;Blank;Blank;Blank
2026.09.08;08:42;NAS100;s-2*2-5-0-0;Blank;Blank;Blank;Blank;Blank
2026.09.08;08:42;XAGUSD;b-0*1-3-0-0;b-0*1-0-0-0;Blank;s-0*2-0-0-1;Blank;s-1-5-0-6
2026.09.08;08:42;XAUUSD;Blank;b-0*1-0-0-0;Blank;s-0*2-0-0-2;Blank;Blank
2026.09.08;08:42;LTCUSD;s-0*1-0-0-0;b-1*1-4-0-0;Blank;b-0*1-0-0-1;s-1-5-0-1;b-1-4-0-1
2026.09.08;08:42;EURJPY;b-0*1-0-0-0;Blank;b-0*1-0-0-0;Blank;;
