EURUSD;15;Setup;Trend_Cont;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;s3;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;Trend_Reversal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;MACD_Div_Partial;;;;;;;;;;;;;;;;;b;b;b;b;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;MACD_Div_Full;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;REload_ST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;REload_MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;CycleAfter_X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;CycleAfter_DAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;MT_MOM_Wave3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;MT_MOM_Wave2;;;;;;;;;;;;;;;;;;b;b;b;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;X_Marks_the_spot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;ImpulseWithoutRetrace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;MT_Rubberband;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;ST_Rubberband;;;;;;;;;;;;;;;;;;;;s;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;Setup;LT_Conv.;;;;;;;;;;;;;;;;;b;b;b;b;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;MT_K_Angle;s;s;s;s;s;s;s;s;s;s;s;;;;;;;b;b;;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;MT_D_Angle;;;;;;;s;s;s;s;s;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;MT_MOM_Angle;;;;;;;;s;;;s;;;;;;;b;b;;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;ST_D_Angle;s;s;s;;;s;s;s;;;;;;;;;;b;b;;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;ST_MOM_Angle;s;;s;;s;s;s;s;s;s;s;;;;;;;b;b;;b;;;;;;;;;;2026.01.09;06:45
EURUSD;15;K_D_MOM;ST_K_Angle;s;s;;;s;s;;;;;;;;;;;;b;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;TRIGGER;P.ActionBar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;TRIGGER;Stoc_Div.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;TRIGGER;TD_Alignm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;TRIGGER;MA_S&R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;TopDOG_Setup;;;;;;;;;;;;;;;;;b;b;b;;b;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;TD_Alignment;;;;;;;;;b;b;b;b;;;b;b;b;b;b;b;b;b;;;b;b;b;b;b;b;2026.01.09;06:45
EURUSD;15;BellCurve;TD_Countdown;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;SMIclimax;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;SMI-div.;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;RSI_BB_Stoc;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;ADX_EXIT;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;MFI_EXIT;;;;;;s;s;s;s;s;s;s;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;MT_LT_Stoc_Extreme;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;8EMA;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;21EMA;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;CCI;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;TD_Nine;;;;;;;;;;;;;;;b;b;b;b;b;b;b;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;BB_RSI;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;ST_Reload;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;2026.01.09;06:45
EURUSD;15;BellCurve;ST_Mom_Div;;;;;;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;2026.01.09;06:45
EURUSD;30;Setup;Trend_Cont;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;Trend_Reversal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MACD_Div_Partial;;;;;;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MACD_Div_Full;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;REload_ST;;;;;;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;REload_MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;CycleAfter_X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;CycleAfter_DAD;;;;;;;;;;;;;;;;;;;s;s;s;s;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MT_MOM_Wave3;;;;;;b;b;b;b;b;b;b;b;b;b;b;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;MT_MOM_Wave2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
EURUSD;30;Setup;X_Marks_the_spot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026.01.09;07:00
